"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2021-81-6/07/2022","02",1,"SA","Utility","2017","North West","Male","027","SA","C ","Probationary","Not Towing","Straight Ahead","001","5125",,
"2021-82-6/07/2022","01",0,"SA","Motor Cars - Sedan","2011","North","Female","023","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5085",,
"2021-82-6/07/2022","02",0,"SA","Motor Cars - Sedan","2007","North","Male","059","SA","C R ","Full","Not Towing","Straight Ahead","001","5069",,
"2021-82-6/07/2022","03",0,"SA","Motor Cars - Sedan","1999","North","Male","021","O/S","C ","Full","Not Towing","Straight Ahead","001","5085",,
"2021-82-6/07/2022","04",0,"SA","Motor Cars - Sedan","2017","North","Female","027","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5025",,
"2021-83-6/07/2022","01",0,"SA","Motor Cars - Sedan","2009","South","Female","018","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5163",,
"2021-83-6/07/2022","02",0,,"Wire Rope Barrier",,,,,,,,,,,,,
"2021-84-6/07/2022","01",0,"SA","Motor Cars - Sedan","2011","South","Male","025","SA","C ","Full","Not Towing","Straight Ahead","001","5165",,
"2021-84-6/07/2022","02",0,"SA","Motor Cars - Sedan","2005","South","Male","034","SA","C ","Full","Not Towing","Straight Ahead","001","5032",,
"2021-85-6/07/2022","01",0,"SA","Motor Cars - Sedan","2009","North","Female","018","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","5163",,
"2021-85-6/07/2022","02",0,,"Guard Rail",,,,,,,,,,,,,
"2021-86-6/07/2022","01",0,"SA","Motor Cars - Sedan","1995","North East","Male","065","SA","HR","Full","Not Towing","Stopped on Carriageway","002","5017",,
"2021-86-6/07/2022","02",0,"SA","Utility","2019","North East","Male","044","SA","HR","Full","Not Towing","Reversing","001","5016",,
"2021-87-6/07/2022","01",0,"SA","Motor Cars - Sedan","2017","West","Female","049","SA","C ","Full","Not Towing","Straight Ahead","001","5158",,
"2021-87-6/07/2022","02",0,"SA","Motor Cars - Sedan","2010","North","Male","056","SA","C ","Full","Not Towing","U Turn","001","5158",,
"2021-88-6/07/2022","01",0,"SA","Station Wagon","2018","North East","Male","031","SA","C ","Full","Not Towing","Straight Ahead","001","5341",,
"2021-88-6/07/2022","02",0,"SA","Utility","1999","North West","Male","052","SA","HR","Full","Not Towing","Straight Ahead","001","5341",,
"2021-89-6/07/2022","01",1,"SA","Utility","2012","South East","Male","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","002","5242",,
"2021-89-6/07/2022","02",0,,"Stobie Pole",,,,,,,,,,,,,
"2021-90-6/07/2022","01",0,,"Pedal Cycle",,"North West","Male","036",,,,,"Straight Ahead","001","5011",,
"2021-90-6/07/2022","02",0,"SA","Station Wagon","2019","North West","Unknown","XXX","UNKNOWN","XX","Unknown","Not Towing","Entering Private Driveway","001","5245",,
"2021-91-6/07/2022","01",0,"SA","Motor Cars - Sedan","2006","South West","Female","050","SA","C ","Full","Not Towing","Straight Ahead","001","5021",,
"2021-91-6/07/2022","02",1,,"Pedestrian on Road",,"North East","Male","058",,,,,"Crossing without Control",,"5108",,
"2021-92-6/07/2022","01",0,"SA","Motor Cars - Sedan","2011","East","Female","038","SA","C ","Full","Not Towing","Left Turn","005","5032",,
"2021-92-6/07/2022","02",1,,"Pedal Cycle",,"South","Female","039",,,,,"Straight Ahead","001","5045",,
